experiment,experiment_label,layer,component,type,param_name,frobenius_norm,spectral_norm,nuclear_norm,effective_rank,stable_rank,top1_energy,top5_energy,top10_energy,top50_energy,num_sv
adamw_grpo,AdamW + GRPO,0,up_proj,mlp,model.layers.0.mlp.up_proj.weight,0.10016670970545623,0.020093467086553574,2.770009923766338,764.7435688890644,24.850610176508063,0.04024046061232437,0.1093814304560778,0.15603594999891843,0.3687890048900339,1536
adamw_grpo,AdamW + GRPO,0,k_proj,attn,model.layers.0.self_attn.k_proj.weight,0.016737621155776983,0.007245481479912996,0.1828995562173077,119.4092130141697,5.336456405973482,0.18739026873350406,0.4642354263993994,0.5602131947902396,0.804373116207843,256
adamw_grpo,AdamW + GRPO,0,o_proj,attn,model.layers.0.self_attn.o_proj.weight,0.04154807254849577,0.012681917287409306,0.9864964137249252,563.7535101375573,10.73326692317474,0.0931682783217521,0.20900111466693733,0.26918055625149667,0.4884796061535234,1536
adamw_grpo,AdamW + GRPO,0,q_proj,attn,model.layers.0.self_attn.q_proj.weight,0.038352401374437683,0.013195125386118889,0.8222778526060435,459.6762465885883,8.448081223493245,0.11837007404937146,0.23762283114778895,0.32173627235744323,0.5812047096769436,1536
adamw_grpo,AdamW + GRPO,0,v_proj,attn,model.layers.0.self_attn.v_proj.weight,0.01685044924646419,0.005761460866779089,0.23057459641131572,187.24056643653847,8.55377328430063,0.116907470745732,0.23121153175846448,0.30294863395220384,0.6003116959490921,256
adamw_grpo,AdamW + GRPO,1,down_proj,mlp,model.layers.1.mlp.down_proj.weight,0.09984430040386996,0.013356728479266167,3.3669517486705445,1137.1748041617284,55.87870869954441,0.017895903883121643,0.05574441168734222,0.08843203252947987,0.23776985381805996,1536
adamw_grpo,AdamW + GRPO,1,gate_proj,mlp,model.layers.1.mlp.gate_proj.weight,0.10009523664351423,0.018484091386198997,3.1446201840008143,986.9827764306782,29.324499419131843,0.03410117887119265,0.08238775158207493,0.12426604953292994,0.30832712570698717,1536
adamw_grpo,AdamW + GRPO,1,up_proj,mlp,model.layers.1.mlp.up_proj.weight,0.10013854168986358,0.019398298114538193,3.11246973498055,966.0681166770289,26.648653282134653,0.03752534844492136,0.08755200549822015,0.1304590982049908,0.31714279430933306,1536
adamw_grpo,AdamW + GRPO,1,k_proj,attn,model.layers.1.self_attn.k_proj.weight,0.01741523784678125,0.006926286034286022,0.1863480262545636,114.49612114043069,6.3220507109334285,0.15817652304980537,0.4263057950191527,0.5419199578259946,0.8306889867752195,256
adamw_grpo,AdamW + GRPO,1,o_proj,attn,model.layers.1.self_attn.o_proj.weight,0.0413166279859499,0.014713715761899948,0.9193397150791895,495.11069088547515,7.885060235446642,0.12682211297569826,0.24819289890252433,0.3230845914814943,0.564995825844819,1536
