experiment,experiment_label,layer,component,type,param_name,frobenius_norm,spectral_norm,nuclear_norm,effective_rank,stable_rank,spectral_entropy,gini_coefficient,rank_90,rank_95,rank_99,top1_energy,top5_energy,top10_energy,top50_energy,num_sv
muon_grpo,Muon + GRPO,14,v_proj,attn,model.layers.14.self_attn.v_proj.weight,0.0063118612281448105,0.0006948623340576887,0.09735029665171169,237.8809556914282,82.51204336441644,0.9741310699025771,0.15574487372784707,195,221,248,0.012119442922816439,0.05582297379620766,0.10334424551182599,0.3687559266954348,256
muon_grpo,Muon + GRPO,15,down_proj,mlp,model.layers.15.mlp.down_proj.weight,0.037819284738017225,0.0018507639179006219,1.4341614662262145,1438.035068591819,417.56546594596784,0.9826244313078569,0.14854965144322274,1176,1327,1485,0.0023948340596954398,0.010926377204448764,0.02058460116016913,0.08011517199664087,1536
muon_grpo,Muon + GRPO,15,gate_proj,mlp,model.layers.15.mlp.gate_proj.weight,0.037692613319876465,0.0018800243269652128,1.4285550607279447,1436.420087022488,401.96252019512315,0.982450029726788,0.1495616767302863,1173,1323,1481,0.002487794134424707,0.010976668673193454,0.020735806618176145,0.0806252483152414,1536
muon_grpo,Muon + GRPO,15,up_proj,mlp,model.layers.15.mlp.up_proj.weight,0.037174777724290606,0.0018798282835632563,1.4026347690641074,1423.614619963059,391.07531308900593,0.9802490619133709,0.15990044565257988,1153,1308,1476,0.0025570522263378133,0.011160068107799119,0.021001475525046148,0.08330441539292008,1536
muon_grpo,Muon + GRPO,15,k_proj,attn,model.layers.15.self_attn.k_proj.weight,0.006591274733535084,0.0007067362894304097,0.10149466889561154,237.10877904378376,86.980929440073,0.9731934292315434,0.1600214122783914,194,220,247,0.011496772987335887,0.05367442281796016,0.10073340075327832,0.3721918347340049,256
muon_grpo,Muon + GRPO,15,o_proj,attn,model.layers.15.self_attn.o_proj.weight,0.012325703726382085,0.000766548968385905,0.40596954324559675,1084.8344229518534,258.5494639580632,0.929255860927576,0.3706902183368783,761,907,1152,0.0038677318633396985,0.016642770426731263,0.030637995684146054,0.12067168255865283,1536
muon_grpo,Muon + GRPO,15,q_proj,attn,model.layers.15.self_attn.q_proj.weight,0.01102258791983683,0.0007829772075638175,0.344980964848574,979.5421347838162,198.18414312651458,0.9097290169629562,0.4273880641132628,666,810,1066,0.0050458123653295064,0.02082716348412624,0.03887445476197039,0.14904165204709058,1536
muon_grpo,Muon + GRPO,15,v_proj,attn,model.layers.15.self_attn.v_proj.weight,0.006488758468063292,0.0007563814288005233,0.09983598558756057,236.72874843932775,73.59384654890113,0.9723140649709877,0.1603327178947509,194,220,247,0.013588092576945642,0.05815336265924498,0.10650606925358942,0.3779730792345193,256
muon_grpo,Muon + GRPO,16,down_proj,mlp,model.layers.16.mlp.down_proj.weight,0.03770432753304509,0.001856165356002748,1.4285253429843578,1435.467948995605,412.6188588530206,0.9821706479758098,0.15064924630439513,1172,1325,1484,0.002423544097765563,0.010988853643974004,0.02069780157560222,0.0807630148495583,1536
muon_grpo,Muon + GRPO,16,gate_proj,mlp,model.layers.16.mlp.gate_proj.weight,0.03753438542170431,0.001881560543552041,1.422415366396308,1436.1316459516752,397.9442408423141,0.982309008608985,0.15005289184367543,1172,1324,1483,0.002512914869388074,0.011181440341085458,0.02078104893130429,0.08057883860874092,1536
muon_grpo,Muon + GRPO,16,up_proj,mlp,model.layers.16.mlp.up_proj.weight,0.03701711691153555,0.0018813081551343203,1.39761997415917,1425.51902028382,387.1553856174637,0.9804672484260863,0.15859180107073412,1156,1312,1479,0.0025829422426995995,0.011473500075841822,0.02117911237725618,0.08278627289295071,1536
muon_grpo,Muon + GRPO,16,k_proj,attn,model.layers.16.self_attn.k_proj.weight,0.00656346900606631,0.0007159195956774056,0.10111889214022085,237.35464112245722,84.05012776020781,0.9734934594679167,0.15885074126937693,194,220,247,0.011897661867367607,0.053080129704462756,0.099592855608982,0.3722710813614523,256
muon_grpo,Muon + GRPO,16,o_proj,attn,model.layers.16.self_attn.o_proj.weight,0.012176350109603367,0.0007545456173829734,0.400425020785363,1081.4542697096256,260.4133545917052,0.9281284942856245,0.37213174505492175,758,906,1155,0.0038400488391537066,0.017452749320518723,0.03258280844018946,0.12464263318734221,1536
muon_grpo,Muon + GRPO,16,q_proj,attn,model.layers.16.self_attn.q_proj.weight,0.01119383842562925,0.0007868274115025997,0.34818667039309165,967.5339527495106,202.39468564947438,0.9101653112347544,0.4363633497942847,666,804,1046,0.004940841192499943,0.020400785828854958,0.037961296421418024,0.144535360757202,1536
muon_grpo,Muon + GRPO,16,v_proj,attn,model.layers.16.self_attn.v_proj.weight,0.006322905326648789,0.0007095197797752917,0.0969185840949649,234.95287484149182,79.41532985359193,0.9696861471962679,0.16838462924454767,193,219,247,0.012592027280420222,0.057722702022975275,0.1057145353110998,0.39292421574781833,256
muon_grpo,Muon + GRPO,17,down_proj,mlp,model.layers.17.mlp.down_proj.weight,0.037910008640450896,0.0018726367270573974,1.4372809564811178,1437.3931666028589,409.8271192870413,0.9825367214677474,0.1492378872573079,1174,1326,1485,0.002440053263775363,0.010849178381759214,0.020331513970287016,0.07953973181889055,1536
muon_grpo,Muon + GRPO,17,gate_proj,mlp,model.layers.17.mlp.gate_proj.weight,0.03776470527672624,0.0018867921316996217,1.4330110012292891,1439.8818239871869,400.61212213452694,0.9830602780467198,0.1468411497704345,1179,1328,1483,0.0024961800822996478,0.010896521124406916,0.020370940940066452,0.07882807383215498,1536
muon_grpo,Muon + GRPO,17,up_proj,mlp,model.layers.17.mlp.up_proj.weight,0.03720810808622207,0.0018708946881815791,1.4056713156325031,1427.2248181585837,395.5273251732115,0.9808699197964064,0.15717003634320315,1159,1313,1478,0.0025282703276242025,0.011165369969301278,0.020976878185979462,0.08150951402289665,1536
muon_grpo,Muon + GRPO,17,k_proj,attn,model.layers.17.self_attn.k_proj.weight,0.006421180198110948,0.0007654137443751097,0.0989657013269607,237.5416111928381,70.37804562793478,0.9732956722543383,0.15560563991927512,196,221,248,0.014208976550537733,0.06134013374714994,0.10943544104742231,0.37224538803339724,256
muon_grpo,Muon + GRPO,17,o_proj,attn,model.layers.17.self_attn.o_proj.weight,0.01230420270483835,0.000774382206145674,0.40400775170957104,1078.1332535723127,252.46211969368497,0.9284963352673934,0.37455915296766973,758,901,1141,0.003960990271385311,0.017474939571381323,0.03169342980908853,0.1210181940629301,1536
muon_grpo,Muon + GRPO,17,q_proj,attn,model.layers.17.self_attn.q_proj.weight,0.010914449800622353,0.0007293546223081648,0.3424878861054359,984.6609944857851,223.93718579707948,0.910683443210525,0.42470014850506166,670,814,1070,0.004465537942886132,0.02060513377630031,0.0382942870431738,0.146571282422754,1536
muon_grpo,Muon + GRPO,17,v_proj,attn,model.layers.17.self_attn.v_proj.weight,0.0064455530601095785,0.0007223361753858626,0.09941651481494773,237.90123291664173,79.62356988655996,0.9740269655334349,0.15524673082135854,196,222,248,0.01255909527071826,0.05561815716914834,0.10291115165257841,0.3716555621300769,256
muon_grpo,Muon + GRPO,18,down_proj,mlp,model.layers.18.mlp.down_proj.weight,0.03762155244433638,0.0018692282028496265,1.424523313617101,1433.724468791346,405.08743760398033,0.9818915929590313,0.15220480933323355,1169,1322,1483,0.0024686028426722413,0.01121014091515929,0.020599391243535187,0.08029069922332852,1536
muon_grpo,Muon + GRPO,18,gate_proj,mlp,model.layers.18.mlp.gate_proj.weight,0.03770557911967583,0.0018918697023764253,1.4293980961454338,1437.1270624429155,397.21787764844606,0.9825582871638415,0.1491106658664303,1175,1325,1483,0.002517510052468083,0.011283942603583293,0.020567447185044628,0.07960973259712747,1536
muon_grpo,Muon + GRPO,18,up_proj,mlp,model.layers.18.mlp.up_proj.weight,0.03632168403977499,0.001845459220930934,1.3631837744426605,1408.5649063108615,387.36738008530733,0.9776719080637715,0.17170788451332664,1130,1291,1471,0.002581528676420241,0.011463495772065378,0.02123707480088225,0.08466129585200928,1536
muon_grpo,Muon + GRPO,18,k_proj,attn,model.layers.18.self_attn.k_proj.weight,0.006562960260768146,0.0006943151820451021,0.10119365355058108,237.7425974317542,89.34828599727666,0.9740128272982732,0.15690525792366716,195,221,248,0.011192156501250399,0.05222223038622454,0.09937079534703541,0.3707964832714386,256
muon_grpo,Muon + GRPO,18,o_proj,attn,model.layers.18.self_attn.o_proj.weight,0.012554288085145885,0.0007723918533883989,0.41899677793784207,1113.8768707113277,264.18539906809445,0.9339172733746032,0.354161637618416,790,938,1179,0.0037852205440855853,0.01676355417843537,0.030410917814807984,0.11755995623021566,1536
muon_grpo,Muon + GRPO,18,q_proj,attn,model.layers.18.self_attn.q_proj.weight,0.011649943407489616,0.0007472243742085993,0.3757048852788394,1040.0304460123623,243.07795352335265,0.920652103826894,0.39480342987095907,718,865,1121,0.004113906611049074,0.01794685079635706,0.033918423460720694,0.1333132383123606,1536
muon_grpo,Muon + GRPO,18,v_proj,attn,model.layers.18.self_attn.v_proj.weight,0.006402577339244795,0.0007304971222765744,0.09838219388620928,236.11487034843435,76.81970720665159,0.9713955254332316,0.1632495975207482,194,220,248,0.013017492989265298,0.056347230125234786,0.10438277727091268,0.38436207130437455,256
muon_grpo,Muon + GRPO,19,down_proj,mlp,model.layers.19.mlp.down_proj.weight,0.037210138387854724,0.001855006325058639,1.4063127199187875,1428.3717078861332,402.3757330130726,0.9809465026774138,0.15645605618929181,1161,1316,1481,0.0024852393371533454,0.011288790557516302,0.02085326848217921,0.0816168640763155,1536
muon_grpo,Muon + GRPO,19,gate_proj,mlp,model.layers.19.mlp.gate_proj.weight,0.0371816379505559,0.0018958731088787317,1.4063032981695187,1430.5431272864264,384.6258794227467,0.9814484821481885,0.15464205808892229,1164,1317,1480,0.002599929057038017,0.011175916322478064,0.020418502770491957,0.07996908040868876,1536
