experiment,experiment_label,layer,component,type,param_name,spectral_norm_base,spectral_norm_exp,spectral_norm_change,spectral_norm_rel_change,nuclear_norm_change,frobenius_change,effective_rank_base,effective_rank_exp,effective_rank_change,top10_energy_change,top30_rel_change
adamw_sft,AdamW + SFT,11,o_proj,attn,model.layers.11.self_attn.o_proj.weight,2.714001417160034,2.714003562927246,2.1457672119140625e-06,7.906286261852512e-07,0.0007858275821490679,0.0017791487234371506,323.351181824855,323.3512157198799,3.3895024898811243e-05,-1.2720725278692058e-08,4.897945671595685e-05
adamw_sft,AdamW + SFT,11,q_proj,attn,model.layers.11.self_attn.q_proj.weight,3.473287582397461,3.473367929458618,8.034706115722656e-05,2.3132855904136348e-05,0.002377783224801533,0.001979250600280455,288.82459935003567,288.8186027424358,-0.005996607599854542,-6.077757986749921e-07,3.547506364008351e-05
adamw_sft,AdamW + SFT,11,v_proj,attn,model.layers.11.self_attn.v_proj.weight,1.076063871383667,1.0760695934295654,5.7220458984375e-06,5.317570871587532e-06,7.709860801696777e-05,0.0004051843798136285,177.0336174614847,177.03274772603046,-0.0008697354542448466,-1.0690581891542594e-06,2.091921520929053e-05
adamw_sft,AdamW + SFT,12,down_proj,mlp,model.layers.12.mlp.down_proj.weight,7.163233757019043,7.163254737854004,2.09808349609375e-05,2.9289613703278908e-06,-0.0045639872550964355,0.0023315927546326953,361.39756634929597,361.3958706941232,-0.0016956551727957958,4.1266075848089834e-08,2.8832232227250194e-05
adamw_sft,AdamW + SFT,12,gate_proj,mlp,model.layers.12.mlp.gate_proj.weight,10.201515197753906,10.201373100280762,-0.00014209747314453125,-1.3929055673594175e-05,-0.004805266857147217,0.002694426875319385,295.6159277851848,295.6195744520733,0.003646666888528216,1.5532657267960936e-06,2.814705509297582e-05
adamw_sft,AdamW + SFT,12,up_proj,mlp,model.layers.12.mlp.up_proj.weight,3.471902370452881,3.471888303756714,-1.4066696166992188e-05,-4.051581716901015e-06,0.009037762880325317,0.002380070827197062,782.1945557351376,782.2003279991869,0.005772264049369369,7.801882267385873e-07,2.970372307500158e-05
adamw_sft,AdamW + SFT,12,k_proj,attn,model.layers.12.self_attn.k_proj.weight,2.567537546157837,2.5675137042999268,-2.384185791015625e-05,-9.285884814356127e-06,-5.207955837249756e-05,0.0003845071966580619,86.51005331966668,86.51083636547372,0.0007830458070401392,-5.135841349979131e-07,9.8314132518123e-06
adamw_sft,AdamW + SFT,12,o_proj,attn,model.layers.12.self_attn.o_proj.weight,2.645681142807007,2.645711898803711,3.075599670410156e-05,1.1624982393558642e-05,0.013144476866727928,0.0017868784936268258,340.48173483695837,340.4827450080785,0.001010171120128689,-4.908882897600164e-07,3.6292433257431075e-05
adamw_sft,AdamW + SFT,12,q_proj,attn,model.layers.12.self_attn.q_proj.weight,3.3572638034820557,3.3575937747955322,0.0003299713134765625,9.828578651886871e-05,0.003941802395274863,0.0017993387602867569,284.3650427990749,284.3382705001272,-0.026772298947719264,2.5320034035825056e-06,2.901688517655669e-05
adamw_sft,AdamW + SFT,12,v_proj,attn,model.layers.12.self_attn.v_proj.weight,1.1192669868469238,1.1192742586135864,7.271766662597656e-06,6.4969008717775905e-06,3.1441450119018555e-05,0.0004277611258875517,180.18077240589398,180.17962988780778,-0.001142518086197697,-1.727978708274125e-06,2.2910792355053703e-05
adamw_sft,AdamW + SFT,13,down_proj,mlp,model.layers.13.mlp.down_proj.weight,7.355894565582275,7.355912685394287,1.811981201171875e-05,2.4633050202350785e-06,-0.002262711524963379,0.002514349695467499,360.20627230263403,360.20507740244415,-0.0011949001898869938,2.733346626954125e-07,2.7097002026929854e-05
adamw_sft,AdamW + SFT,13,gate_proj,mlp,model.layers.13.mlp.gate_proj.weight,8.297859191894531,8.297894477844238,3.528594970703125e-05,4.252416061904145e-06,0.016459107398986816,0.002828354490278021,351.6710211766297,351.67150925965404,0.00048808302432234996,-8.138778649288692e-07,3.1929103054571935e-05
