experiment,experiment_label,layer,component,type,param_name,n_params,n_changed,n_unchanged,sparsity,n_changed_bf16,n_unchanged_bf16,sparsity_bf16
adamw_bf16,AdamW + BF16,13,v_proj,attn,model.layers.13.self_attn.v_proj.weight,393216,9000,384216,0.97711181640625,9000,384216,0.97711181640625
adamw_bf16,AdamW + BF16,14,down_proj,mlp,model.layers.14.mlp.down_proj.weight,13762560,303122,13459438,0.9779748825799851,303122,13459438,0.9779748825799851
adamw_bf16,AdamW + BF16,14,gate_proj,mlp,model.layers.14.mlp.gate_proj.weight,13762560,278400,13484160,0.9797712053571429,278400,13484160,0.9797712053571429
adamw_bf16,AdamW + BF16,14,up_proj,mlp,model.layers.14.mlp.up_proj.weight,13762560,283613,13478947,0.9793924240838914,283613,13478947,0.9793924240838914
adamw_bf16,AdamW + BF16,14,k_proj,attn,model.layers.14.self_attn.k_proj.weight,393216,9415,383801,0.9760564168294271,9415,383801,0.9760564168294271
adamw_bf16,AdamW + BF16,14,o_proj,attn,model.layers.14.self_attn.o_proj.weight,2359296,63913,2295383,0.97291013929579,63913,2295383,0.97291013929579
adamw_bf16,AdamW + BF16,14,q_proj,attn,model.layers.14.self_attn.q_proj.weight,2359296,55414,2303882,0.9765124850802951,55414,2303882,0.9765124850802951
adamw_bf16,AdamW + BF16,14,v_proj,attn,model.layers.14.self_attn.v_proj.weight,393216,10620,382596,0.972991943359375,10620,382596,0.972991943359375
adamw_bf16,AdamW + BF16,15,down_proj,mlp,model.layers.15.mlp.down_proj.weight,13762560,302316,13460244,0.978033447265625,302316,13460244,0.978033447265625
adamw_bf16,AdamW + BF16,15,gate_proj,mlp,model.layers.15.mlp.gate_proj.weight,13762560,272960,13489600,0.9801664806547619,272960,13489600,0.9801664806547619
adamw_bf16,AdamW + BF16,15,up_proj,mlp,model.layers.15.mlp.up_proj.weight,13762560,277131,13485429,0.9798634120396206,277131,13485429,0.9798634120396206
adamw_bf16,AdamW + BF16,15,k_proj,attn,model.layers.15.self_attn.k_proj.weight,393216,8474,384742,0.9784495035807291,8474,384742,0.9784495035807291
adamw_bf16,AdamW + BF16,15,o_proj,attn,model.layers.15.self_attn.o_proj.weight,2359296,56516,2302780,0.9760453965928819,56516,2302780,0.9760453965928819
