experiment,experiment_label,layer,component,type,param_name,n_params,n_changed,n_unchanged,sparsity,n_changed_bf16,n_unchanged_bf16,sparsity_bf16,n_changed_thresh,sparsity_thresh,n_changed_bf16_thresh,sparsity_bf16_thresh
adamw_grpo_fp32,AdamW + GRPO (FP32),5,gate_proj,mlp,model.layers.5.mlp.gate_proj.weight,13762560,13761913,647,4.701160249254155e-05,1968677,11793883,0.8569541567847843,6477045,0.529372079031808,1568781,0.8860109601702009
adamw_grpo_fp32,AdamW + GRPO (FP32),5,up_proj,mlp,model.layers.5.mlp.up_proj.weight,13762560,13762093,467,3.39326404389384e-05,2475179,11287381,0.8201512654622396,6695423,0.5135045369466146,1993879,0.8551229567754837
adamw_grpo_fp32,AdamW + GRPO (FP32),5,k_proj,attn,model.layers.5.self_attn.k_proj.weight,393216,393196,20,5.086263020837034e-05,54771,338445,0.8607101440429688,170415,0.5666122436523438,41560,0.8943074544270834
adamw_grpo_fp32,AdamW + GRPO (FP32),5,o_proj,attn,model.layers.5.self_attn.o_proj.weight,2359296,2359214,82,3.4756130642410454e-05,479741,1879555,0.7966592576768663,1170751,0.5037710401746962,388714,0.8352415296766493
adamw_grpo_fp32,AdamW + GRPO (FP32),5,q_proj,attn,model.layers.5.self_attn.q_proj.weight,2359296,2359190,106,4.4928656684040114e-05,390205,1969091,0.8346095614963107,1054805,0.5529153611924913,300260,0.8727332221137153
adamw_grpo_fp32,AdamW + GRPO (FP32),5,v_proj,attn,model.layers.5.self_attn.v_proj.weight,393216,393194,22,5.594889322912966e-05,79885,313331,0.7968419392903646,195752,0.5021769205729167,64210,0.8367055257161459
adamw_grpo_fp32,AdamW + GRPO (FP32),6,down_proj,mlp,model.layers.6.mlp.down_proj.weight,13762560,13762072,488,3.545851934527722e-05,2448525,11314035,0.8220879690987724,6487502,0.5286122639973958,1949017,0.8583826700846354
adamw_grpo_fp32,AdamW + GRPO (FP32),6,gate_proj,mlp,model.layers.6.mlp.gate_proj.weight,13762560,13761895,665,4.831949869787966e-05,1912693,11849867,0.8610220046270461,6274761,0.5440702165876117,1500716,0.8909566243489584
adamw_grpo_fp32,AdamW + GRPO (FP32),6,up_proj,mlp,model.layers.6.mlp.up_proj.weight,13762560,13762104,456,3.313337053567622e-05,2357588,11404972,0.8286955333891369,6449989,0.5313379923502604,1868705,0.8642182123093378
adamw_grpo_fp32,AdamW + GRPO (FP32),6,k_proj,attn,model.layers.6.self_attn.k_proj.weight,393216,393198,18,4.57763671875e-05,56398,336818,0.8565724690755209,185815,0.527448018391927,44806,0.8860524495442709
adamw_grpo_fp32,AdamW + GRPO (FP32),6,o_proj,attn,model.layers.6.self_attn.o_proj.weight,2359296,2359198,98,4.1537814670089546e-05,432455,1926841,0.81670167711046,1147997,0.5134154425726997,348445,0.8523097568088107
adamw_grpo_fp32,AdamW + GRPO (FP32),6,q_proj,attn,model.layers.6.self_attn.q_proj.weight,2359296,2359189,107,4.5352511935714546e-05,391178,1968118,0.8341971503363715,1095864,0.5355122884114583,306729,0.8699913024902344
adamw_grpo_fp32,AdamW + GRPO (FP32),6,v_proj,attn,model.layers.6.self_attn.v_proj.weight,393216,393194,22,5.594889322912966e-05,68672,324544,0.8253580729166666,198232,0.49586995442708337,55874,0.8579050699869791
adamw_grpo_fp32,AdamW + GRPO (FP32),7,down_proj,mlp,model.layers.7.mlp.down_proj.weight,13762560,13762055,505,3.6693754650318766e-05,2357873,11404687,0.8286748250325521,6471519,0.5297736031668527,1874922,0.8637664794921875
adamw_grpo_fp32,AdamW + GRPO (FP32),7,gate_proj,mlp,model.layers.7.mlp.gate_proj.weight,13762560,13761932,628,4.563104538690688e-05,2011872,11750688,0.8538155691964285,6252761,0.5456687563941592,1575342,0.8855342320033482
adamw_grpo_fp32,AdamW + GRPO (FP32),7,up_proj,mlp,model.layers.7.mlp.up_proj.weight,13762560,13762035,525,3.814697265625e-05,2241823,11520737,0.8371071225120907,6400289,0.5349492390950521,1770158,0.8713787260509672
adamw_grpo_fp32,AdamW + GRPO (FP32),7,k_proj,attn,model.layers.7.self_attn.k_proj.weight,393216,393191,25,6.357828776037966e-05,50654,342562,0.8711802164713541,172979,0.5600916544596355,38872,0.9011433919270834
adamw_grpo_fp32,AdamW + GRPO (FP32),7,o_proj,attn,model.layers.7.self_attn.o_proj.weight,2359296,2359198,98,4.1537814670089546e-05,444835,1914461,0.811454349093967,1111319,0.5289616054958768,353958,0.8499730428059896
adamw_grpo_fp32,AdamW + GRPO (FP32),7,q_proj,attn,model.layers.7.self_attn.q_proj.weight,2359296,2359200,96,4.069010416662966e-05,361711,1997585,0.8466868930392795,1053496,0.5534701877170138,279360,0.881591796875
adamw_grpo_fp32,AdamW + GRPO (FP32),7,v_proj,attn,model.layers.7.self_attn.v_proj.weight,393216,393207,9,2.288818359375e-05,71333,321883,0.8185907999674479,181848,0.53753662109375,56093,0.8573481241861979
